composition,temperature,Al_frac,Co_frac,Cr_frac,E_fcc,E_hcp,E_dhcp,lattice_param,volume,natoms,gamma_ISF,gamma_ESF,gamma_Twin
Comp09_Al00_Co50_Cr50,100,0.0000,0.5000,0.5000,-5.00696765,-5.03919269,-5.02437335,3.78716951,11732.70046948,864,-1866.5676,-1797.2279,-933.2838
Comp09_Al00_Co50_Cr50,350,0.0000,0.5000,0.5000,-5.01498185,-5.03287250,-5.01007859,3.80839317,11931.06151576,864,519.9766,-214.3238,259.9883
Comp09_Al00_Co50_Cr50,550,0.0000,0.5000,0.5000,-5.00911919,-5.00954681,-4.99511824,3.81264623,11971.07852195,864,1481.4472,729.4119,740.7236
Comp10_Al75_Co25_Cr00,100,0.7500,0.2500,0.0000,-3.64736832,-3.52843317,-3.54917235,3.60346761,10106.84530636,864,11631.4577,9337.7398,5815.7288
Comp10_Al75_Co25_Cr00,350,0.7500,0.2500,0.0000,-3.63086178,-3.61131104,-3.61569015,3.62714229,10307.36202268,864,1773.7181,1458.2792,886.8590
Comp10_Al75_Co25_Cr00,550,0.7500,0.2500,0.0000,-3.62780511,-3.59430296,-3.60595447,3.62333079,10274.90234928,864,2559.9414,2261.2180,1279.9707
Comp11_Al75_Co00_Cr25,100,0.7500,0.0000,0.2500,-3.63106986,-3.47672676,-3.51366591,3.99799743,13803.24771777,864,11297.4229,9361.7026,5648.7114
Comp11_Al75_Co00_Cr25,350,0.7500,0.0000,0.2500,-3.59784481,-3.51599761,-3.54069501,4.00311985,13856.37185551,864,5485.2857,4706.5837,2742.6428
Comp11_Al75_Co00_Cr25,550,0.7500,0.0000,0.2500,-3.57154051,-3.53747799,-3.53730493,4.01463911,13976.33441535,864,3267.1293,2446.2183,1633.5646
Comp12_Al00_Co75_Cr25,100,0.0000,0.7500,0.2500,-4.76346335,-4.81488233,-4.81551473,3.67535254,10723.85069404,864,-5926.7415,-4427.0543,-2963.3707
Comp12_Al00_Co75_Cr25,350,0.0000,0.7500,0.2500,-4.72953527,-4.79320147,-4.79603156,3.69088332,10860.37193377,864,-7507.9009,-5551.0413,-3753.9505
Comp12_Al00_Co75_Cr25,550,0.0000,0.7500,0.2500,-4.70037135,-4.77165122,-4.76405682,3.69865422,10929.11372459,864,-7160.3561,-5583.7327,-3580.1780
Comp13_Al33_Co34_Cr33,100,0.3300,0.3400,0.3300,-4.09682096,-3.95080245,-3.97520547,3.74336672,11330.28611125,864,13348.9124,10681.3231,6674.4562
Comp13_Al33_Co34_Cr33,350,0.3300,0.3400,0.3300,-4.06985149,-4.05681803,-4.05902436,3.76288822,11508.47300443,864,1176.1224,942.0088,588.0612
Comp13_Al33_Co34_Cr33,550,0.3300,0.3400,0.3300,-4.04172854,-4.06364776,-4.08499435,3.78402452,11703.49506079,864,-4647.4927,-2912.3717,-2323.7463
