Temp_K,E_FCC_eV,E_HCP_eV,E_DHCP_eV,A_FCC_A2,natoms,gamma_ISF_DMLF_mJm2,gamma_ESF_DMLF_mJm2,gamma_Twin_DMLF_mJm2,delta_E_dhcp_fcc_eV,delta_E_hcp_fcc_eV,CompName,gamma_ISF_Ising_mJm2,gamma_Twin_Ising_mJm2
100,-4.98239543585918,-5.0044477595018,-5.00907637707792,517.926804323384,864,-2852.443068162205,-2015.6216342833272,-1426.2215340811026,-23.05233321299144,-19.05320762722349,Comp06_Al00_Co25_Cr75,-1178.799931120298,-2357.599862240596
350,-4.98240493897901,-4.99386033488568,-4.99309996252074,520.483754015411,864,-1137.7813043432773,-873.5588757992846,-568.8906521716386,-9.24050034005512,-9.89746206336278,Comp06_Al00_Co25_Cr75,-609.3363080589735,-1218.672616117947
550,-4.97216802373457,-4.97465741516925,-4.9674022166464,525.476966751278,864,502.1887752353523,185.51554585304507,251.09438761767612,4.117657324178481,-2.1508341995634908,Comp06_Al00_Co25_Cr75,-131.15765356770842,-262.31530713541684
100,-3.93663085951628,-3.83479667273345,-3.84487327045969,427.539462250925,864,11883.654422126903,9238.999402834765,5941.8272110634525,79.2785569448938,87.98473738036499,Comp07_Al50_Co50_Cr00,6594.342877136,13188.685754272
350,-3.97802587089374,-3.88162686720777,-3.89611490648882,418.042229859812,864,10849.40972186869,8616.805867702,5424.704860934345,70.77107324585094,83.28873918467816,Comp07_Al50_Co50_Cr00,6384.200555133436,12768.401110266872
550,-3.94804071966859,-3.91016639489754,-3.87073182674836,420.096267191498,864,10189.781189889518,6342.907050600225,5094.890594944759,66.79488348307845,32.723416602187214,Comp07_Al50_Co50_Cr00,2496.032341119221,4992.064682238442
100,-3.77173368522846,-3.68182918780204,-3.6645307072782,534.808199982571,864,11099.234290437997,7876.677222698623,5549.617145218997,92.62337294902456,77.67748577642672,Comp08_Al50_Co00_Cr50,4654.119091775859,9308.238183551717
350,-3.73777495272058,-3.71166334983838,-3.7136477498171,542.313152904758,864,2463.434762471232,1898.2288548322592,1231.717381235616,20.845903308606932,22.560424890220744,Comp08_Al50_Co00_Cr50,1333.0226426786178,2666.0452853572356
550,-3.70970552190599,-3.7269927653224,-3.72153044343372,545.540780416877,864,-1200.2045627771226,-1038.7569561269684,-600.1022813885613,-10.216732199958685,-14.936178311778406,Comp08_Al50_Co00_Cr50,-877.3091490649856,-1754.6182981299712
100,-5.00696765390692,-5.03919268893213,-5.0243733536039,516.33550420288,864,-1866.5676044277584,-1797.227904961503,-933.2838022138792,-15.03852453819036,-27.84243026178126,Comp09_Al00_Co50_Cr50,-1727.887810777883,-3455.775621555766
